239,Nova Prata do Iguaçu,NOVA PRATA DO IGUACU,,
240,Nova Santa Bárbara,NOVA SANTA BARBARA,,
241,Nova Santa Rosa,NOVA SANTA ROSA,,
242,Nova Tebas,NOVA TEBAS,,
243,Novo Itacolomi,NOVO ITACOLOMI,,
244,Ortigueira,ORTIGUEIRA,,
245,Ourizona,OURIZONA,,
246,Ouro Verde do Oeste,OURO VERDE DO OESTE,,
247,Paiçandu,PAICANDU,1,0
248,Palmas,PALMAS,1,0
249,Palmeira,PALMEIRA,2,0
250,Palmital,PALMITAL,,
251,Palotina,PALOTINA,,
252,Paranacity,PARANACITY,,
253,Paranaguá,PARANAGUA,5,2
254,Paranapoema,PARANAPOEMA,,
255,Paranavaí,PARANAVAI,4,0
256,Paraíso do Norte,PARAISO DO NORTE,,
257,Pato Bragado,PATO BRAGADO,,
258,Pato Branco,PATO BRANCO,3,0
259,Paula Freitas,PAULA FREITAS,,
260,Paulo Frontin,PAULO FRONTIN,,
261,Peabiru,PEABIRU,2,0
262,Perobal,PEROBAL,,
263,Pinhais,PINHAIS,13,0
264,Pinhal de São Bento,PINHAL DE SAO BENTO,,
265,Pinhalão,PINHALAO,,
266,Pinhão,PINHAO,1,0
267,Piraquara,PIRAQUARA,3,0
268,Piraí do Sul,PIRAI DO SUL,,
269,Pitanga,PITANGA,,
270,Pitangueiras,PITANGUEIRAS,,
271,Piên,PIEN,,
272,Planaltina do Paraná,PLANALTINA DO PARANA,,
273,Planalto,PLANALTO,,
274,Ponta Grossa,PONTA GROSSA,5,0
275,Pontal do Paraná,PONTAL DO PARANA,,
276,Porecatu,PORECATU,,
277,Porto Amazonas,PORTO AMAZONAS,,
278,Porto Barreiro,PORTO BARREIRO,,
279,Porto Rico,PORTO RICO,,
280,Porto Vitória,PORTO VITORIA,,
281,Prado Ferreira,PRADO FERREIRA,,
282,Pranchita,PRANCHITA,,
283,Presidente Castelo Branco,PRESIDENTE CASTELO BRANCO,,
284,Primeiro de Maio,PRIMEIRO DE MAIO,1,1
285,Prudentópolis,PRUDENTOPOLIS,,
286,Pérola,PEROLA,,
287,Pérola d'Oeste,PEROLA D'OESTE,,
288,Quarto Centenário,QUARTO CENTENARIO,,
289,Quatiguá,QUATIGUA,2,1
290,Quatro Barras,QUATRO BARRAS,1,0
