ordem_brasil_io,codigo_municipio,municipio,municipio_brasil_io,municipio_sesa
272,19707,Planaltina do Paraná,Planaltina do Paraná,PLANALTINA DO PARANA
273,19806,Planalto,Planalto,PLANALTO
274,19905,Ponta Grossa,Ponta Grossa,PONTA GROSSA
275,19954,Pontal do Paraná,Pontal do Paraná,PONTAL DO PARANA
276,20002,Porecatu,Porecatu,PORECATU
277,20101,Porto Amazonas,Porto Amazonas,PORTO AMAZONAS
278,20150,Porto Barreiro,Porto Barreiro,PORTO BARREIRO
279,20200,Porto Rico,Porto Rico,PORTO RICO
280,20309,Porto Vitória,Porto Vitória,PORTO VITORIA
281,20333,Prado Ferreira,Prado Ferreira,PRADO FERREIRA
282,20358,Pranchita,Pranchita,PRANCHITA
283,20408,Presidente Castelo Branco,Presidente Castelo Branco,PRESIDENTE CASTELO BRANCO
284,20507,Primeiro de Maio,Primeiro de Maio,PRIMEIRO DE MAIO
285,20606,Prudentópolis,Prudentópolis,PRUDENTOPOLIS
286,18907,Pérola,Pérola,PEROLA
287,19004,Pérola d'Oeste,Pérola d'Oeste,PEROLA D'OESTE
288,20655,Quarto Centenário,Quarto Centenário,QUARTO CENTENARIO
289,20705,Quatiguá,Quatiguá,QUATIGUA
290,20804,Quatro Barras,Quatro Barras,QUATRO BARRAS
291,20853,Quatro Pontes,Quatro Pontes,QUATRO PONTES
292,20903,Quedas do Iguaçu,Quedas do Iguaçu,QUEDAS DO IGUACU
293,21000,Querência do Norte,Querência do Norte,QUERENCIA DO NORTE
294,21109,Quinta do Sol,Quinta do Sol,QUINTA DO SOL
295,21208,Quitandinha,Quitandinha,QUITANDINHA
296,21257,Ramilândia,Ramilândia,RAMILANDIA
297,21307,Rancho Alegre,Rancho Alegre,RANCHO ALEGRE
298,21356,Rancho Alegre D'Oeste,Rancho Alegre D'Oeste,RANCHO ALEGRE D'OESTE
299,21406,Realeza,Realeza,REALEZA
300,21505,Rebouças,Rebouças,REBOUCAS
301,21604,Renascença,Renascença,RENASCENCA
302,21703,Reserva,Reserva,RESERVA
303,21752,Reserva do Iguaçu,Reserva do Iguaçu,RESERVA DO IGUACU
304,21802,Ribeirão Claro,Ribeirão Claro,RIBEIRAO CLARO
305,21901,Ribeirão do Pinhal,Ribeirão do Pinhal,RIBEIRAO DO PINHAL
306,22008,Rio Azul,Rio Azul,RIO AZUL
307,22107,Rio Bom,Rio Bom,RIO BOM
308,22156,Rio Bonito do Iguaçu,Rio Bonito do Iguaçu,RIO BONITO DO IGUACU
309,22172,Rio Branco do Ivaí,Rio Branco do Ivaí,RIO BRANCO DO IVAI
310,22206,Rio Branco do Sul,Rio Branco do Sul,RIO BRANCO DO SUL
311,22305,Rio Negro,Rio Negro,RIO NEGRO
312,22404,Rolândia,Rolândia,ROLANDIA
313,22503,Roncador,Roncador,RONCADOR
314,22602,Rondon,Rondon,RONDON
315,22651,Rosário do Ivaí,Rosário do Ivaí,ROSARIO DO IVAI
316,22701,Sabáudia,Sabáudia,SABAUDIA
317,22800,Salgado Filho,Salgado Filho,SALGADO FILHO
318,22909,Salto do Itararé,Salto do Itararé,SALTO DO ITARARE
319,23006,Salto do Lontra,Salto do Lontra,SALTO DO LONTRA
320,23105,Santa Amélia,Santa Amélia,SANTA AMELIA
321,23204,Santa Cecília do Pavão,Santa Cecília do Pavão,SANTA CECILIA DO PAVAO
322,23303,Santa Cruz de Monte Castelo,Santa Cruz de Monte Castelo,SANTA CRUZ DE MONTE CASTELO
323,23402,Santa Fé,Santa Fé,SANTA FE
324,23501,Santa Helena,Santa Helena,SANTA HELENA
325,23600,Santa Inês,Santa Inês,SANTA INES
326,23709,Santa Isabel do Ivaí,Santa Isabel do Ivaí,SANTA ISABEL DO IVAI
327,23808,Santa Izabel do Oeste,Santa Izabel do Oeste,SANTA IZABEL DO OESTE
328,23824,Santa Lúcia,Santa Lúcia,SANTA LUCIA
329,23857,Santa Maria do Oeste,Santa Maria do Oeste,SANTA MARIA DO OESTE
330,23907,Santa Mariana,Santa Mariana,SANTA MARIANA
331,23956,Santa Mônica,Santa Mônica,SANTA MONICA
332,24020,Santa Tereza do Oeste,Santa Tereza do Oeste,SANTA TEREZA DO OESTE
333,24053,Santa Terezinha de Itaipu,Santa Terezinha de Itaipu,SANTA TEREZINHA DE ITAIPU
334,24004,Santana do Itararé,Santana do Itararé,SANTANA DO ITARARE
335,24103,Santo Antônio da Platina,Santo Antônio da Platina,SANTO ANTONIO DA PLATINA
336,24202,Santo Antônio do Caiuá,Santo Antônio do Caiuá,SANTO ANTONIO DO CAIUA
337,24301,Santo Antônio do Paraíso,Santo Antônio do Paraíso,SANTO ANTONIO DO PARAISO
338,24400,Santo Antônio do Sudoeste,Santo Antônio do Sudoeste,SANTO ANTONIO DO SUDOESTE
339,24509,Santo Inácio,Santo Inácio,SANTO INACIO
340,26207,Sapopema,Sapopema,SAPOPEMA
341,26256,Sarandi,Sarandi,SARANDI
342,26272,Saudade do Iguaçu,Saudade do Iguaçu,SAUDADE DO IGUACU
343,26306,Sengés,Sengés,SENGES
344,26355,Serranópolis do Iguaçu,Serranópolis do Iguaçu,SERRANOPOLIS DO IGUACU
345,26405,Sertaneja,Sertaneja,SERTANEJA
346,26504,Sertanópolis,Sertanópolis,SERTANOPOLIS
347,26603,Siqueira Campos,Siqueira Campos,SIQUEIRA CAMPOS
348,26652,Sulina,Sulina,SULINA
349,24608,São Carlos do Ivaí,São Carlos do Ivaí,SAO CARLOS DO IVAI
350,24707,São Jerônimo da Serra,São Jerônimo da Serra,SAO JERONIMO DA SERRA
351,25209,São Jorge d'Oeste,São Jorge d'Oeste,SAO JORGE D'OESTE
352,25308,São Jorge do Ivaí,São Jorge do Ivaí,SAO JORGE DO IVAI
353,25357,São Jorge do Patrocínio,São Jorge do Patrocínio,SAO JORGE DO PATROCINIO
354,25407,São José da Boa Vista,São José da Boa Vista,SAO JOSE DA BOA VISTA
355,25456,São José das Palmeiras,São José das Palmeiras,SAO JOSE DAS PALMEIRAS
356,25506,São José dos Pinhais,São José dos Pinhais,SAO JOSE DOS PINHAIS
357,24806,São João,São João,SAO JOAO
358,24905,São João do Caiuá,São João do Caiuá,SAO JOAO DO CAIUA
359,25001,São João do Ivaí,São João do Ivaí,SAO JOAO DO IVAI
360,25100,São João do Triunfo,São João do Triunfo,SAO JOAO DO TRIUNFO
361,25555,São Manoel do Paraná,São Manoel do Paraná,SAO MANOEL DO PARANA
362,25605,São Mateus do Sul,São Mateus do Sul,SAO MATEUS DO SUL
363,25704,São Miguel do Iguaçu,São Miguel do Iguaçu,SAO MIGUEL DO IGUACU
364,25753,São Pedro do Iguaçu,São Pedro do Iguaçu,SAO PEDRO DO IGUACU
365,25803,São Pedro do Ivaí,São Pedro do Ivaí,SAO PEDRO DO IVAI
366,25902,São Pedro do Paraná,São Pedro do Paraná,SAO PEDRO DO PARANA
367,26009,São Sebastião da Amoreira,São Sebastião da Amoreira,SAO SEBASTIAO DA AMOREIRA
368,26108,São Tomé,São Tomé,SAO TOME
369,26678,Tamarana,Tamarana,TAMARANA
370,26702,Tamboara,Tamboara,TAMBOARA
371,26801,Tapejara,Tapejara,TAPEJARA
372,26900,Tapira,Tapira,TAPIRA
373,27007,Teixeira Soares,Teixeira Soares,TEIXEIRA SOARES
374,27106,Telêmaco Borba,Telêmaco Borba,TELEMACO BORBA
375,27205,Terra Boa,Terra Boa,TERRA BOA
376,27304,Terra Rica,Terra Rica,TERRA RICA
377,27403,Terra Roxa,Terra Roxa,TERRA ROXA
378,27502,Tibagi,Tibagi,TIBAGI
379,27601,Tijucas do Sul,Tijucas do Sul,TIJUCAS DO SUL
380,27700,Toledo,Toledo,TOLEDO
381,27809,Tomazina,Tomazina,TOMAZINA
382,27858,Três Barras do Paraná,Três Barras do Paraná,TRES BARRAS DO PARANA
383,27882,Tunas do Paraná,Tunas do Paraná,TUNAS DO PARANA
384,27908,Tuneiras do Oeste,Tuneiras do Oeste,TUNEIRAS DO OESTE
385,27957,Tupãssi,Tupãssi,TUPASSI
386,27965,Turvo,Turvo,TURVO
387,28005,Ubiratã,Ubiratã,UBIRATA
388,28104,Umuarama,Umuarama,UMUARAMA
389,28302,Uniflor,Uniflor,UNIFLOR
390,28203,União da Vitória,União da Vitória,UNIAO DA VITORIA
391,28401,Uraí,Uraí,URAI
392,28534,Ventania,Ventania,VENTANIA
393,28559,Vera Cruz do Oeste,Vera Cruz do Oeste,VERA CRUZ DO OESTE
394,28609,Verê,Verê,VERE
395,28658,Virmond,Virmond,VIRMOND
396,28708,Vitorino,Vitorino,VITORINO
397,28500,Wenceslau Braz,Wenceslau Braz,WENCESLAU BRAZ
398,28807,Xambrê,Xambrê,XAMBRE
399,1150,Ângulo,Ângulo,ANGULO
